(mnist_lab) zzm@autodl-container-a53c499c18-6d3fc5e8:~/LAB/lab4/src$ python /home/zzm/LAB/lab4/src/main.py
Some weights of the model checkpoint at /home/zzm/LAB/lab4/src/model_hub/chinese-bert-wwm-ext were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/torch/nn/modules/rnn.py:1013: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  super().__init__("LSTM", *args, **kwargs)
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/1 197/834 loss:15.784172
【train】1/1 198/834 loss:19.253847
【train】1/1 199/834 loss:18.997461
【train】1/1 200/834 loss:23.576698
【train】1/1 201/834 loss:26.005764
【train】1/1 202/834 loss:19.857784
【train】1/1 203/834 loss:19.308521
【train】1/1 204/834 loss:21.304291
【train】1/1 205/834 loss:17.705368
【train】1/1 206/834 loss:31.775589
【train】1/1 207/834 loss:18.719215
【train】1/1 208/834 loss:16.856201
【train】1/1 209/834 loss:16.752403
【train】1/1 210/834 loss:18.254219
【train】1/1 211/834 loss:15.504709
【train】1/1 212/834 loss:14.716068
【train】1/1 213/834 loss:22.351683
【train】1/1 214/834 loss:39.140862
【train】1/1 215/834 loss:32.202404
【train】1/1 216/834 loss:13.423221
【train】1/1 217/834 loss:15.310080
【train】1/1 218/834 loss:16.051620
【train】1/1 219/834 loss:18.530981
【train】1/1 220/834 loss:13.765402
【train】1/1 221/834 loss:19.230576
【train】1/1 222/834 loss:20.542866
【train】1/1 223/834 loss:11.178673
【train】1/1 224/834 loss:15.737303
【train】1/1 225/834 loss:10.242283
【train】1/1 226/834 loss:13.093252
【train】1/1 227/834 loss:43.605602
【train】1/1 228/834 loss:15.292361
【train】1/1 229/834 loss:15.368626
【train】1/1 230/834 loss:10.156483
【train】1/1 231/834 loss:37.303650
【train】1/1 232/834 loss:14.753931
【train】1/1 233/834 loss:27.058950
【train】1/1 234/834 loss:16.062374
【train】1/1 235/834 loss:9.057589
【train】1/1 236/834 loss:16.672155
【train】1/1 237/834 loss:14.410114
【train】1/1 238/834 loss:13.062574
【train】1/1 239/834 loss:20.065310
【train】1/1 240/834 loss:14.668250
【train】1/1 241/834 loss:12.750213
【train】1/1 242/834 loss:12.116812
【train】1/1 243/834 loss:17.605019
【train】1/1 244/834 loss:14.633354
【train】1/1 245/834 loss:9.809217
【train】1/1 246/834 loss:26.571295
【train】1/1 247/834 loss:12.952484
【train】1/1 248/834 loss:12.855591
【train】1/1 249/834 loss:11.966825
【train】1/1 250/834 loss:10.294350
【train】1/1 251/834 loss:12.342007
【train】1/1 252/834 loss:8.393813
【train】1/1 253/834 loss:15.470320
【train】1/1 254/834 loss:8.882376
【train】1/1 255/834 loss:41.642899
【train】1/1 256/834 loss:15.769724
【train】1/1 257/834 loss:9.925722
【train】1/1 258/834 loss:8.334402
【train】1/1 259/834 loss:7.283800
【train】1/1 260/834 loss:17.254444
【train】1/1 261/834 loss:11.380346
【train】1/1 262/834 loss:20.873388
【train】1/1 263/834 loss:9.383807
【train】1/1 264/834 loss:8.469886
【train】1/1 265/834 loss:27.602470
【train】1/1 266/834 loss:14.275543
【train】1/1 267/834 loss:18.919868
【train】1/1 268/834 loss:11.105304
【train】1/1 269/834 loss:14.484358
【train】1/1 270/834 loss:10.732468
【train】1/1 271/834 loss:10.210575
【train】1/1 272/834 loss:14.181898
【train】1/1 273/834 loss:11.082850
【train】1/1 274/834 loss:10.393572
【train】1/1 275/834 loss:13.498198
【train】1/1 276/834 loss:9.629974
【train】1/1 277/834 loss:20.080433
【train】1/1 278/834 loss:11.864691
【train】1/1 279/834 loss:22.359266
【train】1/1 280/834 loss:26.202923
【train】1/1 281/834 loss:6.157670
【train】1/1 282/834 loss:16.651279
【train】1/1 283/834 loss:12.201072
【train】1/1 284/834 loss:8.008934
【train】1/1 285/834 loss:14.046804
【train】1/1 286/834 loss:10.145991
【train】1/1 287/834 loss:8.422211
【train】1/1 288/834 loss:8.508490
【train】1/1 289/834 loss:16.810856
【train】1/1 290/834 loss:10.068370
【train】1/1 291/834 loss:10.780691
【train】1/1 292/834 loss:13.965415
【train】1/1 293/834 loss:11.377986
【train】1/1 294/834 loss:12.334835
【train】1/1 295/834 loss:13.425761
【train】1/1 296/834 loss:19.403433
【train】1/1 297/834 loss:9.954132
【train】1/1 298/834 loss:17.742218
【train】1/1 299/834 loss:16.985268
【train】1/1 300/834 loss:8.191425
【train】1/1 301/834 loss:12.834849
【train】1/1 302/834 loss:15.345612
【train】1/1 303/834 loss:14.831747
